----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 2
传感器标签 : Ch_Z

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:00:12

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值

0;0.0483
1;-0.3663
2;-0.1238
3;-0.3371
4;-0.1939
5;0.171
6;0.393
7;0.6091
8;0.4456
9;0.4105
10;0.3404
11;0.0104
12;-0.0771
13;-0.3604
14;-0.451
15;-0.1326
16;-0.1063
17;0.0191
18;0.0834
19;0.1038
20;0.3813
21;0.1593
22;0.1593
23;-0.0654
24;0.2645
25;0.2411
26;-0.2845
27;-0.1151
28;-0.156
29;-0.2553
30;0.1885
31;0.0483
32;0.0337
33;0.2995
34;0.0571
35;0.2849
36;-0.0537
37;0.0717
38;-0.045
39;-0.08
40;-0.1063
41;-0.118
42;0.0191
43;0.2849
44;0.4134
45;0.3054
46;-0.0158
47;-0.1151
48;0.0805
49;-0.2144
50;-0.375
51;-0.0771
52;0.0629
53;0.2616
54;0.3112
55;0.2236
56;-0.0362
57;0.022
58;-0.118
59;-0.2786
60;0.0016
61;0.0746
62;0.1944
63;0.2207
64;0.1681
65;0.0688
66;0.0016
67;-0.2407
68;-0.3429
69;-0.3633
70;-0.2144
71;0.5215
72;0.3171
73;0.6676
74;0.8574
75;0.948
76;0.6208
77;-0.3108
78;-0.8161
79;-0.7869
80;-1.003
81;-0.267
82;0.1622
83;0.8136
84;1.2664
85;0.983
86;0.5741
87;0.1243
88;-0.5094
89;-1.0089
90;-1.3594
91;-0.9972
92;0.0951
93;0.4806
94;1.1729
95;0.7377
96;0.3346
97;0.3404
98;-0.3254
99;-0.8657
100;-1.1199
101;-0.3692
102;0.2061
103;0.6091
104;0.8545
105;0.5741
106;0.5916
107;0.0717
108;-0.4305
109;-0.9212
110;-0.5766
111;-0.0566
112;0.3901
113;0.5128
114;0.6325
115;0.7464
116;0.025
117;-0.0829
118;-0.819
119;-0.7431
120;-0.2436
121;0.0951
122;0.32
123;0.4894
124;0.4952
125;0.4543
126;-0.1326
127;-0.6817
128;-0.784
129;-0.6408
130;-0.1472
131;-0.0072
132;0.1885
133;0.7756
134;0.6354
135;0.4222
136;-0.2553
137;-0.3575
138;-0.1764
139;-0.2991
140;-0.0216
141;0.0366
142;0.3696
143;0.6121
144;0.2995
145;0.1038
146;-0.2611
147;-0.153
148;-0.2494
149;-0.1589
150;0.0396
151;0.136
152;0.3317
153;0.06
154;0.0016
155;-0.0917
156;0.0016
157;-0.1384
158;-0.0917
159;-0.1998
160;0.3171
161;0.4806
162;0.539
163;0.1038
164;-0.1939
165;-0.118
166;-0.0654
167;-0.0187
168;-0.3487
169;-0.1939
170;0.3667
171;0.3667
172;0.3696
173;0.06
174;-0.1443
175;-0.2523
176;-0.3195
177;-0.3195
178;-0.2494
179;0.393
180;0.542
181;0.7523
182;0.3054
183;-0.0946
184;-0.4889
185;-0.7606
186;-0.8219
187;-0.3926
188;-0.1355
189;0.5215
190;0.799
191;0.5887
192;0.7201
193;0.0629
194;-0.5298
195;-0.6321
196;-0.8395
197;-0.2115
198;0.615
199;0.6384
200;0.6559
201;0.3054
202;-0.0888
203;-0.5065
204;-1.1053
205;-1.0381
206;-0.2319
207;0.6208
208;0.9071
209;1.4036
210;0.8341
211;0.1506
212;-0.6116
213;-0.9709
214;-1.1462
215;-0.8249
216;0.3988
217;0.9012
218;1.3335
219;0.8253
220;0.5069
221;-0.1822
222;-0.8687
223;-1.1637
224;-0.7781
225;-0.0625
226;0.4573
227;0.8633
228;1.2196
229;0.8983
230;0.355
231;-0.1092
232;-1.1403
233;-1.0556
234;-0.6321
235;-0.2407
236;0.133
237;0.7055
238;0.7756
239;0.7727
240;0.1301
241;-0.153
242;-0.451
243;-0.3137
244;0.0366
245;-0.0391
246;0.4105
247;0.3609
248;0.393
249;0.0337
250;-0.4159
251;-0.486
252;-0.2553
253;-0.2261
254;0.1973
255;0.5829
256;0.7114
257;0.8428
258;0.4923
259;-0.5561
260;-0.7314
261;-0.4539
262;-0.4013
263;-0.2085
264;0.2411
265;0.6909
266;0.5566
267;0.4982
268;-0.3108
269;-0.5269
270;-0.7343
271;-0.413
272;-0.4101
273;-0.1472
274;0.3229
275;0.9158
276;0.7552
277;0.1593
278;-0.0654
279;-0.7109
280;-0.2465
281;-0.5999
282;-0.3108
283;-0.0128
284;0.6793
285;0.7727
286;0.3287
287;-0.1852
288;-0.3867
289;-0.67
290;-0.5912
291;-0.1764
292;-0.0859
293;1.1291
294;0.9655
295;0.9129
296;0.4952
297;-0.0742
298;-0.7314
299;-0.7606
300;-0.8015
301;-0.3575
302;0.5829
303;0.983
304;0.7172
305;0.0162
306;0.3375
307;-0.597
308;-0.3809
309;-1.0585
310;-0.4364
311;-0.1355
312;0.8136
313;0.9918
314;0.4018
315;-0.1297
316;0.098
317;0.0483
318;-0.5123
319;-0.7401
320;-0.0625
321;0.615
322;0.6909
323;0.3375
324;0.2061
325;0.1184
326;0.0892
327;-0.6759
328;-0.9358
329;-0.7022
330;0.2236
331;0.8311
332;0.5537
333;0.577
334;0.3755
335;0.3492
336;-0.597
337;-0.8979
338;-0.9826
339;-0.1998
340;0.0016
341;0.431
342;0.4923
343;0.4222
344;0.5683
345;-0.2932
346;-0.4305
347;-0.9212
348;-0.2115
349;-0.1092
350;-0.0187
351;0.247
352;0.4514
353;0.6588
354;0.1652
355;-0.3721
356;-0.6087
357;-0.1852
358;-0.2261
359;0.4806
360;0.2732
361;0.4923
362;0.7464
363;0.1097
364;-0.3108
365;-0.3838
366;-0.3517
367;-0.1063
368;0.2791
369;0.2411
370;0.5595
371;0.7201
372;0.3463
373;-0.1706
374;-0.5094
375;-0.1501
376;-0.4334
377;0.0951
378;0.2148
379;0.4777
380;0.7318
381;0.7698
382;0.2119
383;-0.1355
384;-0.3371
385;-0.4773
386;-0.4042
387;-0.3078
388;0.2528
389;0.4222
390;0.6091
391;0.2353
392;0.0425
393;0.1622
394;-0.0625
395;-0.0333
396;-0.2582
397;-0.0072
398;0.2586
399;0.06
400;0.1301
401;-0.3049
402;-0.1998
403;0.1243
404;0.0308
405;0.0366
406;-0.1121
407;0.5507
408;0.7552
409;0.2586
410;-0.1092
411;-0.1968
412;-0.3604
413;-0.1822
414;-0.0742
415;0.1067
416;0.3813
417;0.5478
418;0.5157
419;0.2411
420;-0.153
421;-0.1881
422;-0.5211
423;-0.2553
424;0.022
425;0.0629
426;0.3492
427;0.3258
428;0.3083
429;-0.0216
430;-0.0946
431;-0.2202
432;-0.2786
433;-0.1998
434;-0.0245
435;-0.045
436;0.5098
437;0.2353
438;0.4105
439;-0.0304
440;-0.2348
441;-0.3341
442;-0.1472
443;0.1184
444;0.2995
445;0.4485
446;0.2878
447;0.3112
448;0.1768
449;-0.2465
450;-0.4685
451;-0.6963
452;-0.3108
453;-0.4481
454;0.1915
455;0.3112
456;0.5653
457;0.6179
458;0.6296
459;0.3141
460;-0.4451
461;-0.413
462;-0.9066
463;-0.6963
464;-0.5678
465;-0.1472
466;-0.0042
467;0.7523
468;0.7961
469;0.9421
470;0.4105
471;0.1097
472;-0.2903
473;-0.6905
474;-0.6671
475;-0.3633
476;0.4573
477;0.7844
