----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 1
传感器标签 : Ch_Y

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:00:12

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值

0;0.1398
1;0.0535
2;0.1845
3;0.116
4;0.1369
5;0.1428
6;-0.0505
7;0.0297
8;0.0356
9;0.0446
10;-0.0088
11;-0.0654
12;0.0237
13;-0.0683
14;0.113
15;-0.0981
16;0.0416
17;0.0356
18;0.1041
19;-0.1309
20;-0.2053
21;-0.0356
22;0.0297
23;0.113
24;0.0208
25;0.1875
26;0.0297
27;0.1607
28;0.2083
29;0.0922
30;0.1309
31;0.1636
32;0.1756
33;0.1815
34;0.0386
35;0.1815
36;0.1309
37;0.1458
38;0.1279
39;-0.0237
40;0.0446
41;0.0922
42;0.0356
43;0.0118
44;-0.0058
45;0.0297
46;0.0267
47;0.0624
48;-0.0475
49;-0.0594
50;0.0505
51;-0.0118
52;0.0356
53;-0.0058
54;0.0178
55;0.1607
56;0.0505
57;0.0059
58;0.0535
59;0.0714
60;0.116
61;0.0327
62;0.0237
63;0.1458
64;0.0892
65;0.113
66;0.0684
67;0.1011
68;0.0684
69;0.1458
70;0.1488
71;0.0178
72;0.0952
73;-0.0326
74;0.0863
75;0.0952
76;0.0654
77;0.0089
78;-0.0594
79;-0.0267
80;-0.0267
81;0.0773
82;-0.0683
83;-0.1428
84;0.0416
85;0.1309
86;-0.0803
87;0.119
88;-0.0505
89;-0.0118
90;0.1696
91;0.1041
92;-0.0029
93;0.1875
94;0.0654
95;0.0833
96;0.1636
97;-0.0356
98;0.1071
99;0.0892
100;0.2589
101;0.0803
102;0.0803
103;0.0773
104;0.2381
105;0.2232
106;0.0356
107;0.0505
108;0.1517
109;0.1369
110;0.0565
111;-0.0713
112;-0.0207
113;0.1577
114;0.0535
115;0.1071
116;-0.0594
117;0.0476
118;0.0476
119;-0.0356
120;-0.0416
121;-0.0594
122;-0.0386
123;0.1011
124;0.0684
125;0.0208
126;0.0356
127;0.0148
128;0.0595
129;0.0356
130;0.0535
131;0.0624
132;0.1279
133;0.0001
134;0.0684
135;0.0356
136;0.2113
137;0.0624
138;-0.0029
139;0.119
140;0.1279
141;0.1845
142;0.0327
143;0.0714
144;0.0505
145;0.1845
146;0.0356
147;0.0356
148;-0.0624
149;0.0714
150;0.0714
151;-0.0416
152;-0.0535
153;-0.0654
154;0.1279
155;0.0982
156;0.0505
157;0.0356
158;0.0327
159;0.1101
160;0.0297
161;-0.0148
162;0.0178
163;0.0565
164;0.1398
165;0.0356
166;0.0892
167;0.0446
168;0.1666
169;0.0863
170;0.1071
171;0.1428
172;0.1309
173;0.1517
174;0.0714
175;0.0624
176;0.0505
177;0.1369
178;0.119
179;0.0863
180;-0.0088
181;-0.0148
182;0.1369
183;0.0743
184;0.0624
185;0.0565
186;0.0059
187;0.0803
188;0.1071
189;-0.0713
190;0.0237
191;0.0416
192;0.0833
193;0.0001
194;-0.0862
195;0.1517
196;-0.0207
197;0.0922
198;0.0386
199;0.0356
200;0.0654
201;0.0595
202;0.0208
203;0.1279
204;0.0327
205;0.1547
206;0.0624
207;0.1279
208;0.1041
209;0.1636
210;0.241
211;0.1934
212;0.1636
213;0.1726
214;0.2321
215;-0.0237
216;0.0001
217;0.0743
218;0.0089
219;0.1041
220;0.0327
221;0.0208
222;0.0446
223;-0.11
224;0.0595
225;0.0356
226;0.1101
227;0.0565
228;0.0178
229;-0.0892
230;0.0001
231;0.0237
232;0.0505
233;0.0595
234;0.0089
235;0.0863
236;0.0356
237;-0.0296
238;-0.0148
239;0.122
240;0.0714
241;0.116
242;0.1934
243;-0.0594
244;0.3035
245;0.0773
246;0.1726
247;0.1666
248;0.0001
249;0.0356
250;0.113
251;0.1934
252;0.1041
253;0.0476
254;0.2291
255;0.0863
256;0.0476
257;0.0029
258;0.1756
259;0.0476
260;0.0565
261;0.0386
262;0.0237
263;0.0743
264;0.0416
265;0.0952
266;-0.0445
267;0.0565
268;0.1309
269;-0.0296
270;-0.0237
271;-0.0356
272;0.0059
273;0.0743
274;0.0892
275;0.0803
276;0.0565
277;0.1041
278;0.1428
279;0.1428
280;0.0952
281;0.113
282;0.1458
283;0.0982
284;0.0654
285;0.0833
286;0.1011
287;0.119
288;0.0714
289;0.0237
290;0.0029
291;0.0178
292;0.0356
293;0.1071
294;-0.0445
295;0.0863
296;0.2916
297;-0.1249
298;0.0595
299;0.0535
300;-0.0535
301;-0.0148
302;0.0624
303;-0.0654
304;-0.0177
305;0.122
306;0.1488
307;-0.0624
308;0.0624
309;0.1904
310;0.1041
311;0.113
312;0.2202
313;0.1488
314;0.2976
315;0.0327
316;0.1339
317;0.0059
318;0.3601
319;0.2916
320;0.1785
321;-0.0445
322;-0.0475
323;0.2083
324;0.2589
325;0.119
326;0.0952
327;0.0595
328;0.0535
329;0.1934
330;-0.0296
331;-0.0922
332;0.0595
333;0.0714
334;0.1071
335;-0.1398
336;0.0327
337;0.0654
338;0.0148
339;-0.0237
340;-0.1368
341;0.0952
342;0.1666
343;0.1309
344;-0.0029
345;-0.0029
346;0.0535
347;0.0059
348;-0.0356
349;0.0416
350;0.0952
351;0.1756
352;0.119
353;0.0952
354;0.0803
355;0.0535
356;0.1458
357;0.1041
358;0.0982
359;0.1279
360;0.0833
361;0.0684
362;-0.0207
363;0.0743
364;0.1875
365;0.1964
366;0.0595
367;0.0029
368;0.1428
369;0.0684
370;0.1011
371;-0.0356
372;-0.0773
373;-0.0624
374;-0.0594
375;-0.0713
376;0.0089
377;-0.0237
378;0.0982
379;0.0356
380;-0.0445
381;-0.0237
382;0.0001
383;0.0922
384;0.0803
385;0.0773
386;0.1815
387;0.1726
388;0.0803
389;-0.0267
390;0.0595
391;0.0595
392;0.1815
393;0.1607
394;0.0178
395;0.0356
396;0.0922
397;0.122
398;0.0833
399;0.0446
400;0.1458
401;0.0833
402;0.0029
403;0.1488
404;-0.0058
405;0.0029
406;0.1964
407;-0.0207
408;0.0089
409;-0.0624
410;0.0595
411;0.0565
412;0.0178
413;-0.0624
414;0.0505
415;-0.0624
416;-0.0177
417;0.0446
418;0.0089
419;0.0833
420;0.1249
421;0.113
422;0.0237
423;0.0595
424;0.1249
425;0.0922
426;0.1279
427;0.1071
428;0.1636
429;0.1101
430;0.1309
431;0.1547
432;0.2708
433;0.0743
434;0.116
435;0.0714
436;0.122
437;0.0535
438;-0.0029
439;-0.0177
440;-0.0177
441;0.0684
442;0.1101
443;-0.0177
444;0.0208
445;0.0237
446;-0.0148
447;0.0595
448;-0.0535
449;0.0356
450;-0.0594
451;-0.0296
452;-0.0177
453;-0.0981
454;0.0565
455;-0.0386
456;0.0118
457;-0.0088
458;0.0327
459;0.1249
460;-0.0207
461;0.0535
462;0.0237
463;0.0505
464;0.1517
465;0.0148
466;0.1607
467;0.0148
468;0.1458
469;0.247
470;0.1666
471;0.1279
472;0.0595
473;0.1756
474;0.0356
475;0.1636
476;0.1041
477;0.0833
478;0.1756
479;0.0624
480;-0.0029
481;0.1428
482;-0.0773
483;0.0952
484;0.0356
485;-0.0267
486;-0.0118
487;0.0237
488;0.0684
489;-0.0326
490;-0.113
491;-0.0237
492;0.0356
493;0.0148
494;-0.0148
495;-0.0803
496;0.119
497;0.2142
498;0.113
499;0.0386
500;0.0952
501;0.0803
502;0.1547
503;0.1934
504;0.1041
