----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 2
传感器标签 : Ch_Z

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:05:16

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值

0;0.1447
1;0.2937
2;-0.0158
3;0.06
4;-0.2494
5;-0.2553
6;-0.0391
7;0.1535
8;0.3404
9;-0.0072
10;0.133
11;0.2411
12;-0.1034
13;-0.2261
14;-0.4568
15;-0.3984
16;-0.3195
17;-0.1034
18;0.1214
19;0.247
20;0.4222
21;0.577
22;0.4865
23;0.5098
24;0.2411
25;-0.191
26;-0.5123
27;-0.6671
28;-0.5824
29;-0.7343
30;-0.0274
31;0.3638
32;1.0531
33;0.9684
34;0.8399
35;0.7055
36;-0.1998
37;-0.6262
38;-0.9417
39;-0.5415
40;-0.3809
41;0.764
42;0.7961
43;0.6559
44;0.4952
45;0.5128
46;-0.4714
47;-0.7986
48;-1.0936
49;-0.5298
50;-0.0304
51;0.2849
52;0.6793
53;0.6851
54;0.393
55;0.1155
56;-0.4364
57;-1.0907
58;-0.6584
59;-0.0625
60;0.0892
61;0.6208
62;0.5011
63;0.5566
64;0.5449
65;-0.1647
66;-0.8395
67;-0.7577
68;-0.2757
69;0.0191
70;0.1827
71;0.6734
72;0.5624
73;0.5449
74;0.0366
75;-0.6671
76;-0.5152
77;-0.5649
78;-0.4334
79;0.0045
80;0.2732
81;0.5975
82;0.7961
83;0.3959
84;-0.0946
85;-0.302
86;-0.3108
87;-0.0187
88;-0.0158
89;0.0425
90;0.3258
91;0.6238
92;0.4835
93;0.4689
94;-0.2728
95;-0.1092
96;-0.3078
97;-0.0596
98;-0.1414
99;0.0805
100;0.3287
101;0.355
102;0.2177
103;0.1447
104;-0.1238
105;-0.2816
106;-0.3779
107;-0.6321
108;0.0688
109;0.3112
110;0.4281
111;0.2061
112;0.0542
113;-0.0625
114;-0.1764
115;-0.4072
116;-0.4072
117;-0.2874
118;0.1418
119;0.5274
120;0.4865
121;0.2353
122;0.0746
123;-0.1472
124;-0.2962
125;-0.3429
126;-0.3663
127;0.1915
128;0.761
129;0.8428
130;0.6442
131;0.3842
132;-0.1822
133;-0.4685
134;-0.8336
135;-0.8774
136;-0.3254
137;0.3638
138;0.9129
139;1.059
140;0.6471
141;0.0396
142;-0.1589
143;-0.8161
144;-0.9125
145;-0.486
146;0.0162
147;0.4047
148;0.726
149;0.5741
150;-0.2115
151;-0.4042
152;-0.8073
153;-1.1666
154;-0.3429
155;0.2762
156;0.9305
157;1.1349
158;1.1612
159;0.3988
160;0.0921
161;-0.9475
162;-0.9329
163;-0.892
164;-0.191
165;0.7026
166;1.3744
167;1.2868
168;0.7494
169;0.0659
170;-0.7664
171;-1.006
172;-1.0614
173;-0.5123
174;0.1097
175;1.0298
176;1.2868
177;1.2634
178;0.9421
179;-0.1092
180;-0.8132
181;-0.9738
182;-0.7694
183;-0.3955
184;0.0162
185;0.2645
186;0.7143
187;0.6939
188;0.1973
189;-0.045
190;-0.2932
191;-0.6846
192;-0.2611
193;0.0542
194;0.171
195;0.3901
196;0.0951
197;-0.1501
198;-0.1822
199;-0.6438
200;-0.5912
201;-0.2816
202;0.1301
203;0.6471
204;0.5916
205;0.6909
206;0.3579
207;-0.1968
208;-0.3078
209;-0.4889
210;-0.3896
211;-0.2202
212;-0.0829
213;0.7786
214;0.8662
215;0.5975
216;0.4105
217;0.0016
218;-0.6175
219;-0.5999
220;-0.2962
221;-0.0245
222;0.3784
223;0.6354
224;0.9012
225;0.5829
226;0.4105
227;-0.3341
228;-0.5415
229;-0.4948
230;-0.302
231;0.1885
232;0.4894
233;0.6091
234;0.5858
235;0.0717
236;-0.4276
237;-0.708
238;-0.781
239;-0.597
240;0.0512
241;0.4777
242;1.021
243;1.0152
244;0.8779
245;-0.264
246;-0.4685
247;-0.9592
248;-0.892
249;-0.2377
250;0.4894
251;0.542
252;0.983
253;0.5624
254;0.06
255;-0.2436
256;-0.7401
257;-0.5999
258;-0.7401
