----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 0
传感器标签 : Ch_X

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:05:16

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值
430;1.0833
431;1.1673
432;1.2166
433;1.1383
434;0.9529
435;1.118
436;0.9934
437;1.1238
438;1.005
439;0.9934
440;0.9587
441;0.9384
442;0.9934
443;1.1093
444;0.9934
445;0.9587
446;0.7848
447;0.8775
448;0.9587
449;0.9529
450;0.9355
451;0.9065
452;0.8167
453;0.8862
454;0.9529
455;0.9934
456;0.9529
457;0.8891
458;0.866
459;1.0166
460;1.1557
461;1.0717
462;1.0137
463;0.9645
464;0.9905
465;0.9529
466;0.9007
467;1.0137
468;0.9963
469;1.0253
470;0.9905
471;1.0949
472;1.0427
473;1.0108
474;1.0862
475;1.0456
476;1.0833
477;1.0978
478;1.0166
479;0.9934
480;1.0224
481;1.0804
482;1.005
483;1.0543
484;0.9819
485;1.0775
486;0.9877
487;0.9268
488;0.9297
489;0.9819
490;1.063
491;1.0021
492;0.9616
493;0.9094
494;0.9471
495;0.8891
496;0.9558
497;0.8978
498;0.9152
499;0.9819
500;0.9963
501;0.9384
502;0.9326
503;0.9268
504;0.9152
505;0.9065
506;1.0021
507;1.0949
508;0.9877
509;0.9848
510;0.9326
511;1.0021
512;1.0021
513;0.9934
514;0.979
515;1.0862
516;1.0891
517;1.092
518;1.118
519;1.1093
520;1.0572
521;0.9326
522;0.9587
523;0.7443
524;0.8515
525;0.5936
526;1.1644
527;1.2861
528;0.9326
529;1.0253
530;0.8573
531;0.8167
532;0.8689
533;1.0166
534;1.0775
535;1.0427
536;0.8167
537;0.8051
538;0.8341
539;0.7964
540;0.9471
541;1.0282
542;0.9123
543;0.866
544;0.8631
545;0.9413
546;1.2397
547;1.063
548;1.0311
549;0.9384
550;0.8949
551;1.1644
552;0.9905
553;0.892
554;1.0485
555;1.0485
556;1.1296
557;1.1122
558;0.9616
559;0.8689
560;0.9036
561;0.8457
562;0.8891
563;0.9934
564;0.9413
565;1.005
566;1.1673
567;1.147
568;1.0311
569;1.0021
570;1.0572
571;0.8978
572;0.8804
573;0.8862
574;1.0514
575;0.9587
576;0.9877
577;0.9471
578;1.0166
579;1.1209
580;1.0804
581;0.8689
582;0.9123
583;0.9442
584;0.9268
585;0.979
586;0.9268
587;0.9674
588;0.9529
589;0.8833
590;1.0195
591;1.063
592;1.0398
593;1.0311
594;0.9355
595;0.921
596;1.1992
597;0.9877
598;0.9877
599;1.005
600;0.9674
601;1.0253
602;1.1296
603;1.1064
604;1.0369
605;0.9616
606;0.9355
607;1.0572
608;1.0398
609;0.9442
610;0.9616
611;1.0224
612;0.921
613;1.0543
614;0.9529
615;0.892
616;0.892
617;0.9442
618;0.9992
619;1.0137
620;0.9442
621;0.9297
622;1.0224
623;1.0369
624;1.0949
625;0.9442
626;0.6921
627;0.724
628;0.892
629;0.9529
630;1.0166
631;0.9065
632;0.9384
633;0.9529
634;1.0572
635;1.0282
636;1.0572
637;0.8978
638;0.9065
639;0.9934
640;1.1209
641;1.0949
642;0.9819
643;0.7385
644;0.8775
645;1.1122
646;1.0079
647;1.0833
648;1.1238
649;0.8833
650;0.8833
651;1.1383
652;1.176
653;1.0978
654;0.9529
655;0.8775
656;0.9645
657;1.0398
658;1.1557
659;1.1615
660;0.9732
661;0.9036
662;0.9384
663;0.9761
664;1.0514
665;0.9616
666;0.9877
667;0.9007
668;1.0166
669;1.0949
670;1.1818
671;0.9326
672;0.8109
673;0.8804
674;0.979
675;0.9848
676;1.0108
677;0.8196
678;0.9268
679;0.9934
680;0.9963
681;1.1267
682;1.0833
683;1.1036
684;0.808
685;1.0862
686;1.2079
687;0.9761
688;0.9819
689;0.95
690;1.0688
691;1.0108
692;1.0891
693;1.0572
694;0.9239
695;0.9268
696;0.9905
697;1.0456
698;1.0804
699;0.9413
700;0.9558
701;1.0021
702;1.0514
703;1.0253
704;0.9413
705;0.9123
706;0.921
707;0.9761
708;1.0659
709;1.0311
710;0.8804
711;0.9326
712;0.9036
713;1.0485
714;0.9761
715;0.8978
716;0.9761
717;0.9326
718;0.9761
719;1.0079
720;1.0717
721;1.005
722;0.8862
723;0.8804
724;0.9645
725;0.9587
726;0.9645
727;0.9905
728;0.9703
729;0.9268
730;0.9471
731;1.0543
732;1.0427
733;1.034
734;0.9877
735;0.9819
736;1.0137
737;0.9645
738;1.0775
739;0.9674
740;1.0485
741;0.9934
742;1.1586
743;0.979
744;1.0253
745;0.9616
746;0.866
747;1.0659
748;0.95
749;0.9761
750;0.8399
751;0.8138
752;0.8804
753;1.0195
754;1.0137
755;0.8312
756;0.7761
757;0.9326
758;0.8862
759;0.9934
760;0.9848
761;0.7993
762;0.8746
763;0.8891
764;1.005
765;1.0427
766;0.9268
767;1.0427
768;0.9529
769;0.979
770;0.9992
771;1.0137
772;1.0746
773;0.9616
774;1.0166
775;0.9761
776;1.0427
777;1.063
778;0.9587
779;1.0195
780;1.0601
781;1.0601
782;1.0891
783;1.1238
784;1.0253
785;0.9152
786;0.9239
787;0.9587
788;0.9326
789;0.921
790;0.8167
791;0.8833
792;1.1528
793;1.0978
794;0.9761
795;1.0543
796;0.8399
797;0.9703
798;0.7298
799;0.9152
800;0.6486
801;0.921
802;1.0427
803;1.147
804;0.9239
805;0.9761
806;1.0224
807;0.9674
808;0.8109
809;0.9877
810;0.8949
811;0.7819
812;0.9094
813;1.0543
814;1.0108
815;1.1007
816;1.0224
817;0.8225
818;1.0108
819;0.8515
820;1.118
821;1.1209
822;0.9558
823;0.9616
824;1.0427
825;1.1586
826;1.1036
827;1.0369
828;0.8833
829;0.9065
830;1.0775
831;1.0021
832;1.0485
833;0.9268
834;0.9558
835;0.9558
836;1.0688
837;0.8978
838;0.9326
839;0.9123
840;0.8978
841;1.0601
842;0.9934
843;0.892
844;0.9036
845;0.8283
846;0.8746
847;0.9413
848;0.8891
849;0.7935
850;1.0282
851;1.0224
852;0.9732
853;1.1036
854;0.9963
855;0.8515
856;1.0456
857;0.9674
858;0.9674
859;0.866
860;0.8544
861;1.0862
862;1.0311
863;1.0253
864;1.118
865;0.9732
866;0.9616
867;1.1296
868;1.0485
869;1.0282
870;1.0427
871;1.0137
872;0.9761
873;1.0137
874;0.9036
875;1.0311
876;0.9558
877;0.9297
878;0.9442
879;0.8862
880;0.9674
881;1.0282
882;0.9587
883;0.9036
884;0.921
885;0.9181
886;0.8949
887;0.9094
888;0.9529
889;0.9355
890;0.9848
891;0.9326
892;0.9065
893;0.8949
894;0.9297
895;0.9065
896;1.0137
897;1.034
898;1.0833
899;1.034
900;1.0369
901;1.0746
902;1.0195
903;1.1557
904;0.6689
905;0.8775
906;1.2137
907;1.0543
908;0.921
909;1.0949
910;1.0717
911;0.921
912;0.9529
913;0.9616
914;0.9413
915;0.9123
916;1.1586
917;0.9413
918;0.9007
919;0.9384
920;0.9963
921;0.8949
922;0.9413
923;1.0514
924;0.9848
925;0.9268
926;0.8718
927;0.9558
928;1.0717
929;1.0311
930;1.0688
931;0.9036
932;0.8428
933;0.9152
934;0.9326
935;0.921
936;0.9616
937;0.9963
938;1.0108
939;0.9587
940;0.9587
941;0.9326
942;0.7906
943;0.7732
944;0.9181
945;0.9819
946;1.0427
947;1.0775
948;1.1412
949;1.0659
950;0.8573
951;0.9674
952;1.0427
953;1.0369
954;0.9268
955;0.8978
956;0.9645
957;0.9761
958;0.9674
959;0.9963
960;1.0369
961;0.9963
962;0.9934
963;0.9094
964;0.9442
965;0.9152
966;0.9239
967;0.8978
968;0.921
969;0.8689
970;0.8718
971;0.9094
972;1.0137
973;1.0108
974;0.9905
975;1.0021
976;1.0427
977;0.9152
978;0.9761
979;0.9674
980;1.0514
981;0.9326
982;1.0137
983;0.9442
984;0.9703
985;1.0427
986;1.1296
987;1.0253
988;0.9094
989;0.9529
990;0.9934
991;0.9355
992;1.0108
993;0.9703
994;1.0311
995;0.9934
996;0.9529
997;1.0253
998;1.0108
999;0.8978
1000;0.9934
1001;0.9616
1002;0.9674
1003;1.063
1004;1.0427
1005;1.0137
1006;1.0688
1007;1.0949
1008;0.8515
1009;0.9529
1010;0.7993
1011;0.9355
1012;1.0137
1013;0.9355
1014;0.9152
1015;0.8949
1016;0.866
1017;0.9905
1018;0.9529
1019;0.9703
1020;0.8949
1021;1.0572
1022;1.005
1023;0.9963
1024;0.808
1025;0.9384
1026;1.0166
1027;1.1209
1028;0.9152
1029;0.9036
1030;0.9529
1031;0.8196
1032;1.0746
1033;1.0833
1034;0.9848
1035;1.0398
1036;0.892
1037;0.9268
1038;1.0717
1039;1.0688
1040;1.1209
1041;0.979
1042;0.8891
1043;0.8225
1044;0.9036
1045;0.9326
1046;0.9007
1047;1.0688
1048;0.9007
1049;0.9007
1050;1.0659
1051;1.0369
1052;0.8428
1053;0.8775
