----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 1
传感器标签 : Ch_Y

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:10:20

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值
414;0.0118
415;-0.0118
416;0.0952
417;0.0654
418;0.1756
419;0.1071
420;0.0476
421;0.0001
422;0.1696
423;-0.0177
424;0.0684
425;-0.0981
426;0.0356
427;0.1101
428;0.0743
429;0.113
430;-0.0386
431;-0.0535
432;0.0624
433;-0.0564
434;0.0684
435;-0.0475
436;0.0833
437;0.0237
438;0.0654
439;0.0654
440;0.0178
441;0.1041
442;0.0476
443;0.0624
444;0.1756
445;0.0892
446;0.1785
447;0.0356
448;0.2113
449;0.1279
450;0.0416
451;0.0356
452;0.0089
453;0.2619
454;-0.0386
455;-0.0683
456;-0.0058
457;0.0654
458;0.116
459;0.1279
460;0.1101
461;0.0595
462;0.0535
463;0.0327
464;-0.0594
465;0.0118
466;0.119
467;0.1309
468;0.1249
469;0.0982
470;0.2113
471;0.0476
472;0.1547
473;0.1696
474;0.0356
475;0.0833
476;0.116
477;0.1756
478;0.0476
479;0.0267
480;0.0714
481;-0.0088
482;0.0327
483;-0.0326
484;0.0148
485;-0.0207
486;0.0773
487;-0.0148
488;-0.0594
489;0.0476
490;0.0565
491;0.0505
492;0.0001
493;0.0505
494;-0.0356
495;0.1815
496;0.1547
497;0.113
498;0.1875
499;0.0684
500;0.0684
501;0.0178
502;-0.0445
503;0.0654
504;0.0684
505;0.0803
506;-0.0029
507;-0.0832
508;0.0356
509;0.0297
510;0.0803
511;-0.0296
512;-0.0416
513;0.0654
514;0.1339
515;0.0178
516;0.0892
517;0.0743
518;0.1488
519;0.0327
520;0.1041
521;0.0743
522;0.0565
523;0.1369
524;0.1309
525;0.0863
526;-0.0029
527;0.0714
528;0.0714
529;-0.0088
530;0.0237
531;0.1071
532;0.1071
533;0.0446
534;0.0089
535;-0.0177
536;-0.0148
537;0.0982
538;0.0476
539;0.0356
540;0.0654
541;-0.0177
542;0.0208
543;0.0505
544;0.0208
545;0.0089
546;0.0773
547;0.0714
548;0.0654
549;-0.0148
550;-0.0951
551;0.1011
552;0.0148
553;0.113
554;-0.113
555;0.1309
556;-0.0892
557;-0.0029
558;0.2053
559;0.0267
560;0.0922
561;-0.0029
562;0.0535
563;0.0773
564;0.0356
565;0.1726
566;0.0446
567;0.1428
568;0.0118
569;0.3035
570;0.1458
